 # iter    flux_conservation    flux_mean[1/s]    flux_std[1/s]    time_step[s]
   2230000    4.7806864717E-01    2.9886442844E+07    1.4287771299E+07    1.7187214886E-13
   2240000    4.7738609086E-01    2.9885684003E+07    1.4267009859E+07    1.7187214886E-13
   2250000    4.7670552884E-01    2.9884927467E+07    1.4246310153E+07    1.7187214886E-13
   2260000    4.7602693301E-01    2.9884173126E+07    1.4225671279E+07    1.7187214886E-13
   2270000    4.7535027611E-01    2.9883420880E+07    1.4205092366E+07    1.7187214886E-13
   2280000    4.7467553142E-01    2.9882670632E+07    1.4184572562E+07    1.7187214886E-13
   2290000    4.7400267270E-01    2.9881922287E+07    1.4164111029E+07    1.7187214886E-13
   2300000    4.7333167420E-01    2.9881175750E+07    1.4143706945E+07    1.7187214886E-13
   2310000    4.7266251060E-01    2.9880430928E+07    1.4123359501E+07    1.7187214886E-13
   2320000    4.7199515705E-01    2.9879687730E+07    1.4103067903E+07    1.7187214886E-13
   2330000    4.7132958913E-01    2.9878946066E+07    1.4082831373E+07    1.7187214886E-13
   2340000    4.7066578284E-01    2.9878205844E+07    1.4062649144E+07    1.7187214886E-13
   2350000    4.7000371463E-01    2.9877466979E+07    1.4042520464E+07    1.7187214886E-13
   2360000    4.6934336134E-01    2.9876729382E+07    1.4022444594E+07    1.7187214886E-13
   2370000    4.6868470022E-01    2.9875992969E+07    1.4002420808E+07    1.7187214886E-13
   2380000    4.6802770899E-01    2.9875257653E+07    1.3982448395E+07    1.7187214886E-13
   2390000    4.6737236644E-01    2.9874523325E+07    1.3962526663E+07    1.7187214886E-13
   2400000    4.6671865219E-01    2.9873789863E+07    1.3942654940E+07    1.7187214886E-13
   2410000    4.6606654624E-01    2.9873057143E+07    1.3922832568E+07    1.7187214886E-13
   2420000    4.6541602898E-01    2.9872325044E+07    1.3903058899E+07    1.7187214886E-13
   2430000    4.6476708115E-01    2.9871593445E+07    1.3883333295E+07    1.7187214886E-13
   2440000    4.6411968384E-01    2.9870862223E+07    1.3863655131E+07    1.7187214886E-13
   2450000    4.6347381848E-01    2.9870131259E+07    1.3844023793E+07    1.7187214886E-13
   2460000    4.6282946686E-01    2.9869400432E+07    1.3824438677E+07    1.7187214886E-13
   2470000    4.6218661108E-01    2.9868669625E+07    1.3804899192E+07    1.7187214886E-13
   2480000    4.6154523358E-01    2.9867938719E+07    1.3785404753E+07    1.7187214886E-13
   2490000    4.6090531712E-01    2.9867207596E+07    1.3765954789E+07    1.7187214886E-13
   2500000    4.6026684476E-01    2.9866476139E+07    1.3746548736E+07    1.7187214886E-13
   2510000    4.5962979987E-01    2.9865744231E+07    1.3727186044E+07    1.7187214886E-13
